,Scheme Code,Scheme Name,Net Asset Value,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Date,Repurchase Price,Sale Price
3155,108595,IDFC Flexi Cap Fund - Regular Plan - IDCW,12.0516,INF194K01409,INF194K01417,21-Jan-2009,12.0516,12.3228
3157,109522,JM Flexicap Fund (Regular) - Growth option,7.6395,INF192K01635,,21-Jan-2009,7.6395,7.8114
3158,109523,JM Flexicap Fund (Regular) - IDCW,7.6395,INF192K01619,INF192K01627,21-Jan-2009,7.6395,7.8114
3160,100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,13.8286,INF767K01071,,21-Jan-2009,13.8286,13.8286
3161,100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,5.4489,INF767K01063,INF767K01055,21-Jan-2009,5.4489,5.4489
3163,109830,quant Flexi Cap Fund - Growth Option - Regular Plan,10.1513,INF966L01457,,21-Jan-2009,10.1513,10.1513
3164,109831,quant Flexi Cap Fund - IDCW Option - Regular Plan,10.1509,INF966L01432,INF966L01440,21-Jan-2009,10.1509,10.1509
3166,103216,SBI Flexicap Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),6.89,INF200K01230,INF200K01248,21-Jan-2009,6.82,7.05
3167,103215,SBI Flexicap Fund - REGULAR PLAN -Growth Option,9.06,INF200K01222,,21-Jan-2009,8.97,9.26
3169,100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,24.28,INF044D01989,,21-Jan-2009,24.04,24.83
3170,111640,Taurus Flexi Cap Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,24.8,INF044D01955,INF044D01963,21-Jan-2009,24.55,25.36
3172,100669,UTI - Flexi Cap Fund-Growth Option,25.12,INF789F01513,,21-Jan-2009,25.12,25.69
3173,100668,UTI Flexi Cap Fund - Regular Plan - IDCW,23.1,INF189A01053,INF789F01505,21-Jan-2009,23.1,23.62
3176,109091,Birla Fixed Term Plan - Series AW INSTITUTIONAL DIVIDEND,10.0,,,21-Jan-2009,9.8,0.0
3177,109093,Birla Fixed Term Plan - Series AW INSTITUTIONAL GROWTH,10.6034,,,21-Jan-2009,10.3913,0.0
3178,109092,Birla Fixed Term Plan - Series AW RETAIL DIVIDEND,10.5833,,,21-Jan-2009,10.3716,0.0
3179,109090,Birla Fixed Term Plan - Series AW RETAIL GROWTH,10.5833,,,21-Jan-2009,10.3716,0.0
3180,109096,Birla Fixed Term Plan - Series AY INSTITUTIONAL GROWTH,10.5527,,,21-Jan-2009,10.3416,0.0
3181,109094,Birla Fixed Term Plan - Series AY RETAIL DIVIDEND,10.5398,,,21-Jan-2009,10.329,0.0
3182,109097,Birla Fixed Term Plan - Series AY RETAIL GROWTH,10.5398,,,21-Jan-2009,10.329,0.0
3183,109529,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES A RETAIL Dividend,7.8942,,,21-Jan-2009,7.7363,8.0718
3184,109527,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES A RETAIL Growth,7.8942,,,21-Jan-2009,7.7363,8.0718
3185,109535,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES B INSTITUTIONAL Growth,10.0773,,,21-Jan-2009,9.8758,10.2285
3186,109536,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES B RETAIL Dividend,10.0773,,,21-Jan-2009,9.8758,10.2285
3187,109537,BIRLA SUN LIFE EQUITY LINKED FMP - SERIES B RETAIL Growth,10.0773,,,21-Jan-2009,9.8758,10.2285
